sample ID;Latitude;Longitude;Year;season;Month;Day;Date;d15N;d13C;dist;chla_2m;sst_2m;mld_2m;wind_2m;PPv_2m
156;58.862;-38.068;2012;2;6;25;1272;4.7777915;-26.37489182;270.4446127;0.981963552;6.069329739;16.72264308;6.431300246;632.3382619
157;59.603;-35.903;2012;2;6;25;1272;3.327314057;-25.34182105;351.685633;0.778783297;6.761620998;16.10476831;6.264684907;621.442098
158;59.783;-35.345;2012;2;6;25;1272;5.705792076;-24.87752352;373.2799717;0.688506693;6.912774563;17.45808917;6.333141533;610.7497978
159;56.227;-44.485;2012;2;6;24;1271;5.140052685;-26.85166139;363.3221507;0.961131585;5.185418606;21.24788786;7.276229415;589.3983398
160;56.44;-44.025;2012;2;6;24;1271;5.372723965;-26.5377047;340.9991889;1.575381557;5.098992825;20.2122597;7.302065774;835.1598714
161;53.152;-51.812;2012;2;6;23;1270;8.100010816;-22.17544427;64.19694469;1.47822616;3.033410549;12.14236493;7.04035918;651.9917824
162;53.353;-51.368;2012;2;6;23;1270;6.692251817;-23.35068369;101.4179102;3.053089118;3.757379055;14.90404001;7.197849131;1011.166876
163;61.507;-30.883;2013;2;6;9;1621;4.230835171;-24.84481122;355.8764446;0.353165622;6.850152493;71.35077766;8.826544671;391.0993601
164;61.713;-30.333;2013;2;6;9;1621;4.033117565;-25.2627213;318.7343673;0.491233733;7.031945705;71.28573821;8.806223256;489.9232746
165;62.32;-28.642;2013;2;6;10;1622;3.748330601;-25.6493204;212.366838;0.499101434;7.341790676;85.06409545;8.626945021;489.0633174
166;62.713;-27.475;2013;2;6;10;1622;4.022362365;-25.30065641;142.9467927;0.57603636;7.538995266;126.4316869;8.554428164;525.6104736
167;63.097;-26.277;2013;2;6;10;1622;4.641226;-23.23345964;83.72812485;0.511162378;7.506890774;90.78756701;8.447650577;465.2597514
168;58.658;-38.72;2013;2;6;9;1621;4.730688836;-25.14432039;251.7647414;0.411945241;5.088189602;46.98099622;10.90674436;365.4073842
169;59.42;-36.592;2013;2;6;9;1621;4.683263149;-25.4619946;322.3025951;0.416283657;5.244744778;50.00032759;9.985922912;385.9735321
170;53.577;-50.887;2013;2;6;7;1619;6.46830219;-22.20324226;137.514145;1.430170965;3.488397121;26.45354534;8.720358694;689.9580658
171;54.365;-49.058;2013;2;6;7;1619;7.005033639;-22.51949102;268.6198568;0.639829771;4.329675198;32.71484312;9.006191649;434.8372955
172;54.558;-48.59;2013;2;6;7;1619;5.453447046;-24.05940512;303.4243494;0.674133351;4.314599514;35.34643931;9.027047945;466.6475281
173;55.125;-47.16;2013;2;6;8;1620;5.906286926;-23.87966627;410.1098167;0.575453857;4.278649807;27.81186923;8.984934193;436.3736359
174;55.31;-46.673;2013;2;6;8;1620;5.557176089;-24.72923634;447.8065437;0.666515708;4.136559963;35.43649393;8.982280051;448.999265
175;55.493;-46.183;2013;2;6;8;1620;4.899835049;-25.50299978;451.8662561;0.671880662;4.181970119;38.02056129;9.058909816;454.0502964
176;62.928;-25.762;2013;2;6;12;1624;6.032770729;-21.36179785;79.73175838;0.921469054;7.585595608;92.69122166;8.213984699;648.7928081
177;62.46;-26.795;2013;2;6;13;1625;3.683663076;-24.82539429;150.5990976;0.824558595;7.633782864;121.2960719;8.253561819;647.191118
178;61.012;-29.708;2013;2;6;13;1625;5.351058521;-23.7414424;364.4895274;0.606924891;7.356042385;59.0583217;8.868998801;569.2375778
179;60.515;-30.62;2013;2;6;13;1625;4.76856973;-23.75187413;437.3763507;0.553712456;7.098351955;53.01715744;9.15245721;513.5600077
180;57.218;-36.593;2013;2;6;14;1626;4.778453589;-25.02969305;449.6663814;0.718980465;5.867364407;40.83226672;10.15000162;480.3884136
181;56.982;-37.027;2013;2;6;14;1626;4.243535339;-27.02382497;450.0512409;0.626843264;5.819482327;37.48023356;10.10855242;485.4685262
182;54.293;-41.447;2013;2;6;14;1626;4.196376315;-26.05264628;595.8546712;0.985820895;5.441644192;28.98257932;8.807086359;664.7496185
183;58.147;-34.805;2013;2;6;14;1626;4.68263221;-25.683302;474.7555044;0.456504889;6.158532619;47.68142106;9.887962753;427.6711388
184;50.262;-48.17;2013;2;6;16;1628;6.286053274;-21.30787395;235.0736173;1.642593716;5.198998928;20.11470053;8.183423561;787.7401692
185;60.022;-17.782;2012;2;6;7;1254;4.09375127;-23.00827457;247.2823738;0.762605254;9.208826065;54.93582121;8.219021492;736.1491165
186;60.01;-18.448;2012;2;6;7;1254;3.79423837;-22.66498575;281.3578456;0.860269203;9.305719376;56.82196524;8.224046129;744.3095215
188;61.68;-28.267;2014;2;6;5;1982;5.282427025;-23.0799276;264.1844809;0.894023545;7.796716213;52.08158998;8.903478345;632.7044795
189;59.71;-31.94;2014;2;6;6;1983;5.110307144;-22.18419205;537.4856426;1.414581424;7.007043362;40.73720907;8.923244619;693.5019161
190;59.457;-32.37;2014;2;6;6;1983;3.952892653;-24.95956925;539.0501878;1.377307302;6.91671133;40.654659;8.8835743;735.0956635
191;58.688;-33.617;2014;2;6;6;1983;4.151992093;-25.23743955;510.5135538;0.760064701;6.626061916;54.63814065;8.822358824;505.8088074
192;58.43;-34.02;2014;2;6;7;1984;3.870148096;-24.98749601;500.7922329;1.120514591;6.509484768;88.74382738;8.82101757;612.9116638
193;58.17;-34.418;2014;2;6;7;1984;4.02896751;-24.90491385;493.5806043;1.102843467;6.454431057;51.0284512;8.847299663;634.1792183
194;62.857;-25.73;2014;2;6;5;1982;5.438447519;-21.61292469;82.0075578;0.783996676;7.803765774;58.84068969;8.620234699;552.6248556
195;56.647;-37.268;2014;2;6;7;1984;4.881493592;-24.75069923;468.2965239;0.621012735;5.725762844;56.46174675;9.043649507;414.677798
196;56.412;-37.695;2014;2;6;7;1984;3.870698871;-24.71494592;471.9898878;1.068286893;5.680016994;53.2998289;9.092757229;545.6074931
197;54.477;-40.932;2014;2;6;8;1985;4.761664235;-24.81472326;583.010349;0.516043002;4.962121487;40.20188437;9.078574786;397.9512736
198;57.575;-35.503;2014;2;6;7;1984;4.306507301;-25.12125974;475.6110782;1.274694818;6.283105373;41.62024467;8.950146687;636.1876556
199;57.113;-36.397;2014;2;6;7;1984;3.714274297;-25.3431127;466.0658417;0.889937904;6.118676662;62.44787763;9.017464665;552.3585739
200;56.882;-36.835;2014;2;6;7;1984;4.173244167;-25.05476899;466.4339626;0.983258148;5.830163479;54.10281595;9.024045319;580.6712409
201;49.518;-47.845;2014;2;6;10;1987;8.000676366;-20.8342143;194.0693471;1.673846466;4.574883938;26.71620466;8.074571285;705.4321785
202;48.998;-48.485;2014;2;6;10;1987;7.591805052;-20.46935447;126.0011252;1.818683258;3.507897854;24.39979965;7.237012934;786.0512787
203;51.81;-44.79;2014;2;6;9;1986;6.978382361;-20.94578679;522.6772262;0.942919523;7.441644192;36.2569916;9.645515917;622.9964478
204;51.558;-45.143;2014;2;6;9;1986;6.995730279;-22.02728077;484.0693633;1.089155656;7.561639309;30.8161915;9.603746596;685.5260315
205;51.307;-45.495;2014;2;6;9;1986;6.864368504;-22.9831922;447.4759639;1.027246565;7.249963284;28.73743063;9.525196123;640.784996
206;51.055;-45.842;2014;2;6;9;1986;7.201019682;-21.14084144;410.8118856;0.950488756;6.715905666;33.565359;9.430433091;617.8356425
207;59.455;-35.125;2015;2;6;12;2354;6.273643486;-23.33793928;398.023372;0.405306405;5.115746975;58.6530759;8.560247018;359.39829
208;59.223;-35.592;2015;2;6;13;2355;4.567745667;-24.68016197;383.145893;0.536232544;5.00441885;63.13329336;8.444579065;413.2024002
209;58.988;-36.053;2015;2;6;13;2355;4.330947756;-24.89176595;368.5396367;0.428887873;4.904443264;54.97584548;8.433816617;370.5822634
210;58.275;-37.4;2015;2;6;13;2355;4.916918722;-24.52418545;339.0506713;0.355707491;4.735558987;60.06393165;8.370789841;318.9047594
211;55.212;-42.467;2015;2;6;14;2356;4.925904996;-23.94189874;484.4261784;0.838245613;4.344415188;142.0011305;8.56884563;506.5541923
212;53.843;-50.022;2016;2;6;12;2720;6.111285395;-23.93798249;195.4784807;1.097126636;4.221948147;27.17898536;7.733718555;578.2898305
